,title,artist,album,streaming_numbers,trending
0,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,N/A,N/A
1,Last Christmas - Single Version,Wham!,The Singles: Echoes from the Edge of Heaven,N/A,N/A
2,Rockin' Around The Christmas Tree,Brenda Lee,Merry Christmas From Brenda Lee,N/A,N/A
3,Jingle Bell Rock,Bobby Helms,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),N/A,N/A
4,Santa Tell Me,Ariana Grande,Santa Tell Me,N/A,N/A
5,greedy,Tate McRae,greedy,N/A,N/A
6,It's Beginning to Look a Lot like Christmas,Michael Bublé,Christmas (Deluxe Special Edition),N/A,N/A
7,It's the Most Wonderful Time of the Year,Andy Williams,The Andy Williams Christmas Album,N/A,N/A
8,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,A Winter Romance,N/A,N/A
9,Snowman,Sia,Everyday Is Christmas (Deluxe Edition),N/A,N/A
10,Underneath the Tree,Kelly Clarkson,Wrapped In Red,N/A,N/A
11,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,N/A,N/A
12,Lovin On Me,Jack Harlow,Lovin On Me,N/A,N/A
13,Holly Jolly Christmas,Michael Bublé,Christmas,N/A,N/A
14,Cruel Summer,Taylor Swift,Lover,N/A,N/A
15,Feliz Navidad,José Feliciano,Feliz Navidad,N/A,N/A
16,Sleigh Ride,The Ronettes,Sleigh Ride,N/A,N/A
17,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),N/A,N/A
18,Mistletoe,Justin Bieber,Under The Mistletoe (Deluxe Edition),N/A,N/A
19,QLONA,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),N/A,N/A
20,PERRO NEGRO,Bad Bunny,nadie sabe lo que va a pasar mañana,N/A,N/A
21,Paint The Town Red,Doja Cat,Scarlet,N/A,N/A
22,La Diabla,Xavi,La Diabla,N/A,N/A
23,Si No Estás,iñigo quintero,Si No Estás,N/A,N/A
24,Seven (feat. Latto) (Explicit Ver.),Jung Kook,GOLDEN,N/A,N/A
25,Que Onda,Calle 24,Que Onda,N/A,N/A
26,HARLEY QUINN,Fuerza Regida,Pa las Baby's Y Belikeada,N/A,N/A
27,Strangers,Kenya Grace,Strangers,N/A,N/A
28,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,Signature Box,N/A,N/A
29,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,Christmas Songs by Sinatra,N/A,N/A
30,Water,Tyla,Water,N/A,N/A
31,I Wanna Be Yours,Arctic Monkeys,AM,N/A,N/A
32,A Holly Jolly Christmas,Burl Ives,Have A Holly Jolly Christmas,N/A,N/A
33,The Christmas Song (Merry Christmas To You),Nat King Cole,The Nat King Cole Story,N/A,N/A
34,Merry Christmas Everyone,Shakin' Stevens,Merry Christmas Everyone,N/A,N/A
35,Agora Hills,Doja Cat,Scarlet,N/A,N/A
36,Según Quién,Maluma,Don Juan,N/A,N/A
37,Standing Next to You,Jung Kook,GOLDEN,N/A,N/A
38,LUNA,Feid,FERXXOCALIPSIS,N/A,N/A
39,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,McCartney II (Special Edition),N/A,N/A
40,vampire,Olivia Rodrigo,GUTS,N/A,N/A
41,Driving Home for Christmas,Chris Rea,New Light Through Old Windows,N/A,N/A
42,La Víctima,Xavi,La Víctima,N/A,N/A
43,Stick Season,Noah Kahan,Stick Season,N/A,N/A
44,Starboy,The Weeknd,Starboy,N/A,N/A
45,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,Greatest Christmas Songs,N/A,N/A
46,LALA,Myke Towers,LA VIDA ES UNA,N/A,N/A
47,MONACO,Bad Bunny,nadie sabe lo que va a pasar mañana,N/A,N/A
48,White Christmas - 1947 Version,Bing Crosby,Holiday Inn (Original Motion Picture Soundtrack),N/A,N/A
49,Do They Know It's Christmas? - 1984 Version,Band Aid,Do They Know It’s Christmas?,N/A,N/A
