,title,artist,album,popularity,trending
0,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,100,N/A
1,Last Christmas - Single Version,Wham!,The Singles: Echoes from the Edge of Heaven,89,N/A
2,Rockin' Around The Christmas Tree,Brenda Lee,Merry Christmas From Brenda Lee,98,N/A
3,greedy,Tate McRae,greedy,99,N/A
4,Jingle Bell Rock,Bobby Helms,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),94,N/A
5,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,98,N/A
6,Santa Tell Me,Ariana Grande,Santa Tell Me,96,N/A
7,It's Beginning to Look a Lot like Christmas,Michael Bublé,Christmas (Deluxe Special Edition),87,N/A
8,Cruel Summer,Taylor Swift,Lover,98,N/A
9,It's the Most Wonderful Time of the Year,Andy Williams,The Andy Williams Christmas Album,79,N/A
10,Lovin On Me,Jack Harlow,Lovin On Me,97,N/A
11,Snowman,Sia,Everyday Is Christmas (Deluxe Edition),94,N/A
12,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,A Winter Romance,95,N/A
13,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),94,N/A
14,Underneath the Tree,Kelly Clarkson,Wrapped In Red,86,N/A
15,Holly Jolly Christmas,Michael Bublé,Christmas,83,N/A
16,Seven (feat. Latto) (Explicit Ver.),Jung Kook,GOLDEN,90,N/A
17,La Diabla,Xavi,La Diabla,88,N/A
18,Feliz Navidad,José Feliciano,Feliz Navidad,88,N/A
19,Paint The Town Red,Doja Cat,Scarlet,88,N/A
20,I Wanna Be Yours,Arctic Monkeys,AM,95,N/A
21,Sleigh Ride,The Ronettes,Sleigh Ride,83,N/A
22,QLONA,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),93,N/A
23,Si No Estás,iñigo quintero,Si No Estás,97,N/A
24,PERRO NEGRO,Bad Bunny,nadie sabe lo que va a pasar mañana,96,N/A
25,Strangers,Kenya Grace,Strangers,96,N/A
26,Mistletoe,Justin Bieber,Under The Mistletoe (Deluxe Edition),92,N/A
27,Standing Next to You,Jung Kook,GOLDEN,97,N/A
28,Water,Tyla,Water,95,N/A
29,HARLEY QUINN,Fuerza Regida,Pa las Baby's Y Belikeada,95,N/A
30,Que Onda,Calle 24,Que Onda,94,N/A
31,Agora Hills,Doja Cat,Scarlet,84,N/A
32,LUNA,Feid,FERXXOCALIPSIS,88,N/A
33,Stick Season,Noah Kahan,Stick Season,93,N/A
34,vampire,Olivia Rodrigo,GUTS,94,N/A
35,Starboy,The Weeknd,Starboy,94,N/A
36,La Víctima,Xavi,La Víctima,90,N/A
37,Daylight,David Kushner,Daylight,94,N/A
38,A Holly Jolly Christmas,Burl Ives,Have A Holly Jolly Christmas,91,N/A
39,Según Quién,Maluma,Don Juan,90,N/A
40,Kill Bill,SZA,SOS,92,N/A
41,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,Signature Box,91,N/A
42,Surround Sound (feat. 21 Savage & Baby Tate),JID,The Forever Story (Extended Version),91,N/A
43,Pehle Bhi Main,Vishal Mishra,ANIMAL,87,N/A
44,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,Christmas Songs by Sinatra,90,N/A
45,BELLAKEO,Peso Pluma,BELLAKEO,85,N/A
46,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",93,N/A
47,The Night We Met,Lord Huron,Strange Trails,82,N/A
48,As It Was,Harry Styles,Harry's House,94,N/A
49,The Christmas Song (Merry Christmas To You),Nat King Cole,The Nat King Cole Story,69,N/A
